שם המפלגה,קולות מקוריים,מנדטים סופיים,סטטוס כניסה
יש עתיד,1151214,31,עברה ישירות בקלפי
הליכוד,1113617,30,עברה ישירות בקלפי
רשימת ודעם,470211,12,עברה ישירות בקלפי
שס,330199,9,עברה ישירות בקלפי
ישראל ביתנו,310154,8,עברה ישירות בקלפי
יהדות התורה,268775,7,עברה ישירות בקלפי
רשימת טב,260655,7,עברה ישירות בקלפי
העבודה,212782,5,עברה ישירות בקלפי
מרצ,192495,5,עברה ישירות בקלפי
רשימת זץ,14805,1,נכנסה כמושב מחאה פנוי
הכלכלית החדשה,4358,1,נכנסה כמושב מחאה פנוי
רשימת כי,5946,1,נכנסה כמושב מחאה פנוי
רשימת כף,83609,1,נכנסה כמושב מחאה פנוי
צעירים בוערים,3053,1,נכנסה כמושב מחאה פנוי
רשימת רק,2395,1,נכנסה כמושב מחאה פנוי
