שם המפלגה,קולות מקוריים,רשימת גיבוי
העבודה,212782,מרצ
יהדות התורה,268775,שס
רשימת ודעם,470211,אין
רשימת ז,1193,אין
רשימת זכ,736,אין
רשימת זץ,14805,אין
רשימת טב,260655,אין
רשימת י,434,אין
הכלכלית החדשה,4358,אין
רשימת ינ,610,אין
רשימת יף,542,אין
רשימת יק,497,אין
רשימת כי,5946,אין
רשימת כף,83609,אין
ישראל ביתנו,310154,אין
הליכוד,1113617,הציונות הדתית
מרצ,192495,העבודה
רשימת נ,1033,אין
רשימת נך,1545,אין
יש עתיד,1151214,המחנה הממלכתי
רשימת ףז,1236,אין
צעירים בוערים,3053,אין
רשימת צן,725,אין
רשימת ץ,592,אין
רשימת ק,1473,אין
רשימת קך,928,אין
רשימת קץ,994,אין
רשימת רק,2395,אין
שס,330199,יהדות התורה
