שם המפלגה,קולות מקוריים,רשימת גיבוי
העבודה,268767,מרצ
הבית היהודי,273836,אין
יהדות התורה,248391,שס
רשימת ודעם,212583,אין
רשימת ז,395,אין
רשימת זץ,663,אין
הציונות הדתית,225641,הליכוד
רשימת י,811,אין
הכלכלית החדשה,34883,אין
רשימת ינ,408,אין
רשימת יף,196,אין
רשימת יק,429,אין
רשימת יר,256,אין
רשימת כ,443,אין
רשימת כך,1291,אין
המחנה הממלכתי,292257,יש עתיד
ישראל ביתנו,248370,אין
הליכוד,1066892,הציונות הדתית
מרצ,202218,העבודה
רשימת נ,486,אין
רשימת ני,429,אין
רשימת נר,220,אין
"רע""מ",167064,אין
יש עתיד,614112,המחנה הממלכתי
רשימת ףז,1309,אין
רשימת צי,441,אין
רשימת צכ,253,אין
רשימת צף,226,אין
רשימת ץ,385,אין
רשימת ק,463,אין
רשימת קי,395,אין
רשימת קך,514,אין
רשימת קץ,729,אין
רשימת ר,17346,אין
רשימת רנ,1189,אין
רשימת רף,592,אין
שס,316008,יהדות התורה
רשימת ת,209161,אין
