שם המפלגה,קולות מקוריים,מנדטים סופיים,סטטוס כניסה
הליכוד,1140370,31,עברה ישירות בקלפי
יש עתיד,1125881,31,עברה ישירות בקלפי
שס,258275,8,עברה ישירות בקלפי
יהדות התורה,249049,6,עברה ישירות בקלפי
העבודה,190870,5,עברה ישירות בקלפי
"חד""ש תע""ל",193442,5,עברה ישירות בקלפי
רשימת דעם,143666,4,עברה ישירות בקלפי
רשימת טב,159468,4,עברה ישירות בקלפי
רשימת כ,152756,4,עברה ישירות בקלפי
ישראל ביתנו,173004,4,עברה ישירות בקלפי
מרצ,156473,4,עברה ישירות בקלפי
רשימת ז,118031,1,נכנסה כמושב מחאה פנוי
רשימת זי,1168,1,נכנסה כמושב מחאה פנוי
רשימת זץ,2417,1,נכנסה כמושב מחאה פנוי
רשימת י,1438,1,נכנסה כמושב מחאה פנוי
רשימת נ,138598,1,נכנסה כמושב מחאה פנוי
רשימת נז,1316,1,נכנסה כמושב מחאה פנוי
רשימת נץ,3394,1,נכנסה כמושב מחאה פנוי
רשימת נר,74701,1,נכנסה כמושב מחאה פנוי
רשימת ן,4618,1,נכנסה כמושב מחאה פנוי
רשימת ףז,819,1,נכנסה כמושב מחאה פנוי
רשימת צק,3843,1,נכנסה כמושב מחאה פנוי
רשימת ק,3281,1,נכנסה כמושב מחאה פנוי
רשימת קף,1140,1,נכנסה כמושב מחאה פנוי
רשימת ר,4135,1,נכנסה כמושב מחאה פנוי
