שם המפלגה,קולות מקוריים,רשימת גיבוי
העבודה,267480,מרצ
יהדות התורה,274437,שס
רשימת ודעם,581507,אין
רשימת ז,3781,אין
רשימת זך,210,אין
רשימת טב,240689,אין
רשימת י,308,אין
הכלכלית החדשה,342,אין
רשימת ינ,677,אין
רשימת יף,222,אין
רשימת יק,389,אין
רשימת יר,271,אין
רשימת כ,516,אין
המחנה הממלכתי,812,יש עתיד
ישראל ביתנו,263365,אין
הליכוד,1352449,הציונות הדתית
רשימת נ,2773,אין
רשימת נז,667,אין
רשימת ני,350,אין
רשימת נץ,19402,אין
רשימת נק,622,אין
יש עתיד,1220381,המחנה הממלכתי
רשימת ףז,1473,אין
רשימת ץ,612,אין
רשימת ק,980,אין
רשימת קי,442,אין
רשימת קך,677,אין
רשימת קץ,1375,אין
שס,352853,יהדות התורה
