שם המפלגה,קולות מקוריים,מנדטים סופיים,סטטוס כניסה
הליכוד,1352449,35,עברה ישירות בקלפי
יש עתיד,1220381,31,עברה ישירות בקלפי
רשימת ודעם,581507,15,עברה ישירות בקלפי
שס,352853,9,עברה ישירות בקלפי
יהדות התורה,274437,7,עברה ישירות בקלפי
העבודה,267480,6,עברה ישירות בקלפי
רשימת טב,240689,6,עברה ישירות בקלפי
ישראל ביתנו,263365,6,עברה ישירות בקלפי
רשימת ז,3781,1,נכנסה כמושב מחאה פנוי
רשימת נ,2773,1,נכנסה כמושב מחאה פנוי
רשימת נץ,19402,1,נכנסה כמושב מחאה פנוי
רשימת ףז,1473,1,נכנסה כמושב מחאה פנוי
רשימת קץ,1375,1,נכנסה כמושב מחאה פנוי
