שם המפלגה,קולות מקוריים,רשימת גיבוי
העבודה,175992,מרצ
חופש כלכלי,15801,אין
הבית היהודי,56775,אין
יהדות התורה,280194,שס
"בל""ד",138617,אין
"חד""ש תע""ל",178735,אין
רשימת ז,430,אין
רשימת זך,205,אין
רשימת זנ,153,אין
רשימת זץ,292,אין
הציונות הדתית,516470,הליכוד
רשימת י,1157,אין
הכלכלית החדשה,13920,אין
רשימת ינ,234,אין
רשימת יץ,262,אין
רשימת יק,411,אין
המחנה הממלכתי,432482,יש עתיד
רשימת ך,746,אין
ישראל ביתנו,213687,אין
הליכוד,1115336,הציונות הדתית
מרצ,150793,העבודה
רשימת נז,350,אין
רשימת ני,1354,אין
רשימת נף,255,אין
רשימת נץ,1020,אין
רשימת נק,1215,אין
רשימת נר,334,אין
"רע""מ",194047,אין
יש עתיד,847435,המחנה הממלכתי
הפיראטים,1728,אין
צעירים בוערים,8800,אין
רשימת ץ,988,אין
רשימת ק,1618,אין
רשימת קי,415,אין
רשימת קך,1078,אין
רשימת קנ,1292,אין
רשימת קץ,14694,אין
רשימת רז,939,אין
שס,392964,יהדות התורה
רשימת ת,1524,אין
